event_number,event_year,country,gold,silver,bronze,total
XIV ,1984,Yugoslavia,0,1,0,1
XIV ,1984,Liechtenstein,0,0,2,2
XIV ,1984,Austria,0,0,1,1
XXI ,2010,Canada,14,7,5,26
XXI ,2010,Germany,10,13,7,30
XXI ,2010,United States,9,15,13,37
XXI ,2010,Norway,9,8,6,23
XXI ,2010,Republic of Korea,6,6,2,14
XXI ,2010,Switzerland,6,0,3,9
XXI ,2010,People's Republic of China,5,2,4,11
XXI ,2010,Sweden,5,2,4,11
XXI ,2010,Austria,4,6,6,16
XXI ,2010,Netherlands,4,1,3,8
XXI ,2010,Russian Federation,3,5,7,15
XXI ,2010,France,2,3,6,11
XXI ,2010,Australia,2,1,0,3
XXI ,2010,Czech Republic,2,0,4,6
XXI ,2010,Poland,1,3,2,6
XXI ,2010,Italy,1,1,3,5
XXI ,2010,Belarus,1,1,1,3
XXI ,2010,Slovakia,1,1,1,3
XXI ,2010,Great Britain,1,0,0,1
XXI ,2010,Japan,0,3,2,5
XXI ,2010,Croatia,0,2,1,3
XXI ,2010,Slovenia,0,2,1,3
XXI ,2010,Latvia,0,2,0,2
XXI ,2010,Finland,0,1,4,5
XXI ,2010,Estonia,0,1,0,1
XXI ,2010,Kazakhstan,0,1,0,1
XXIII ,2018,Norway,14,14,11,39
XXIII ,2018,Germany,14,10,7,31
XXIII ,2018,Canada,11,8,10,29
XXIII ,2018,United States,9,8,6,23
XXIII ,2018,Netherlands,8,6,6,20
XXIII ,2018,Sweden,7,6,1,14
XXIII ,2018,Republic of Korea,5,8,4,17
XXIII ,2018,Switzerland,5,6,4,15
XXIII ,2018,France,5,4,6,15
XXIII ,2018,Austria,5,3,6,14
XXIII ,2018,Japan,4,5,4,13
XXIII ,2018,Italy,3,2,5,10
XXIII ,2018,Russian Olympic Committee,2,6,9,17
XXIII ,2018,Czech Republic,2,2,3,7
XXIII ,2018,Belarus,2,1,0,3
XXIII ,2018,People's Republic of China,1,6,2,9
XXIII ,2018,Slovakia,1,2,0,3
XXIII ,2018,Finland,1,1,4,6
XXIII ,2018,Great Britain,1,0,4,5
XXIII ,2018,Poland,1,0,1,2
XXIII ,2018,Hungary,1,0,0,1
XXIII ,2018,Ukraine,1,0,0,1
XXIII ,2018,Australia,0,2,1,3
XXIII ,2018,Slovenia,0,1,1,2
XXIII ,2018,Belgium,0,1,0,1
XXIII ,2018,New Zealand,0,0,2,2
XXIII ,2018,Spain,0,0,2,2
XXIII ,2018,Kazakhstan,0,0,1,1
XXIII ,2018,Latvia,0,0,1,1
XXIII ,2018,Liechtenstein,0,0,1,1
XVIII ,1998,Germany,12,9,8,29
XVIII ,1998,Norway,10,10,5,25
XVIII ,1998,Russian Federation,9,6,3,18
XVIII ,1998,Canada,6,5,4,15
XVIII ,1998,United States,6,3,4,13
XVIII ,1998,Netherlands,5,4,2,11
XVIII ,1998,Japan,5,1,4,10
XVIII ,1998,Austria,3,5,9,17
XVIII ,1998,Republic of Korea,3,1,2,6
XVIII ,1998,Italy,2,6,2,10
XVIII ,1998,Finland,2,4,6,12
XVIII ,1998,Switzerland,2,2,3,7
XVIII ,1998,France,2,1,5,8
XVIII ,1998,Czech Republic,1,1,1,3
XVIII ,1998,Bulgaria,1,0,0,1
XVIII ,1998,People's Republic of China,0,6,2,8
XVIII ,1998,Sweden,0,2,1,3
XVIII ,1998,Denmark,0,1,0,1
XVIII ,1998,Ukraine,0,1,0,1
XVIII ,1998,Belarus,0,0,2,2
XVIII ,1998,Kazakhstan,0,0,2,2
XVIII ,1998,Australia,0,0,1,1
XVIII ,1998,Belgium,0,0,1,1
XVIII ,1998,Great Britain,0,0,1,1
XXII ,2014,Norway,11,5,10,26
XXII ,2014,Russian Federation,10,10,9,29
XXII ,2014,Canada,10,10,5,25
XXII ,2014,United States,9,9,10,28
XXII ,2014,Netherlands,8,7,9,24
XXII ,2014,Germany,8,6,5,19
XXII ,2014,Switzerland,7,2,2,11
XXII ,2014,Belarus,5,0,1,6
XXII ,2014,Austria,4,8,5,17
XXII ,2014,France,4,4,7,15
XXII ,2014,Poland,4,1,1,6
XXII ,2014,People's Republic of China,3,4,2,9
XXII ,2014,Republic of Korea,3,3,2,8
XXII ,2014,Sweden,2,7,6,15
XXII ,2014,Czech Republic,2,4,2,8
XXII ,2014,Slovenia,2,2,4,8
XXII ,2014,Japan,1,4,3,8
XXII ,2014,Finland,1,3,1,5
XXII ,2014,Great Britain,1,1,3,5
XXII ,2014,Latvia,1,1,3,5
XXII ,2014,Ukraine,1,0,1,2
XXII ,2014,Slovakia,1,0,0,1
XXII ,2014,Italy,0,2,6,8
XXII ,2014,Australia,0,2,1,3
XXII ,2014,Croatia,0,1,0,1
XXII ,2014,Kazakhstan,0,0,1,1
XIX ,2002,Norway,13,5,7,25
XIX ,2002,Germany,12,16,8,36
XIX ,2002,United States,10,13,11,34
XIX ,2002,Canada,7,3,7,17
XIX ,2002,Russian Federation,5,4,4,13
XIX ,2002,France,4,5,2,11
XIX ,2002,Italy,4,4,5,13
XIX ,2002,Finland,4,2,1,7
XIX ,2002,Netherlands,3,5,0,8
XIX ,2002,Austria,3,4,10,17
XIX ,2002,Switzerland,3,2,6,11
XIX ,2002,Croatia,3,1,0,4
XIX ,2002,People's Republic of China,2,2,4,8
XIX ,2002,Republic of Korea,2,2,0,4
XIX ,2002,Australia,2,0,0,2
XIX ,2002,Czech Republic,1,2,0,3
XIX ,2002,Estonia,1,1,1,3
XIX ,2002,Great Britain,1,0,1,2
XIX ,2002,Sweden,0,2,5,7
XIX ,2002,Bulgaria,0,1,2,3
XIX ,2002,Japan,0,1,1,2
XIX ,2002,Poland,0,1,1,2
XIX ,2002,Belarus,0,0,1,1
XIX ,2002,Slovenia,0,0,1,1
XIII ,1980,Soviet Union,10,6,6,22
XIII ,1980,East Germany,9,7,7,23
XIII ,1980,United States,6,4,2,12
XIII ,1980,Austria,3,2,2,7
XIII ,1980,Sweden,3,0,1,4
XIII ,1980,Liechtenstein,2,2,0,4
XIII ,1980,Finland,1,5,3,9
XIII ,1980,Norway,1,3,6,10
XIII ,1980,Netherlands,1,2,1,4
XIII ,1980,Switzerland,1,1,3,5
XIII ,1980,Great Britain,1,0,0,1
XIII ,1980,West Germany,0,2,3,5
XIII ,1980,Italy,0,2,0,2
XIII ,1980,Canada,0,1,1,2
XIII ,1980,Hungary,0,1,0,1
XIII ,1980,Japan,0,1,0,1
XIII ,1980,Bulgaria,0,0,1,1
XIII ,1980,Czechoslovakia,0,0,1,1
XIII ,1980,France,0,0,1,1
XX ,2006,Germany,11,12,6,29
XX ,2006,United States,9,9,7,25
XX ,2006,Austria,9,7,7,23
XX ,2006,Russian Federation,8,6,8,22
XX ,2006,Canada,7,10,7,24
XX ,2006,Sweden,7,2,5,14
XX ,2006,Republic of Korea,6,3,2,11
XX ,2006,Switzerland,5,4,5,14
XX ,2006,Italy,5,0,6,11
XX ,2006,France,3,2,4,9
XX ,2006,Netherlands,3,2,4,9
XX ,2006,Estonia,3,0,0,3
XX ,2006,Norway,2,8,9,19
XX ,2006,People's Republic of China,2,4,5,11
XX ,2006,Czech Republic,1,2,1,4
XX ,2006,Croatia,1,2,0,3
XX ,2006,Australia,1,0,1,2
XX ,2006,Japan,1,0,0,1
XX ,2006,Finland,0,6,3,9
XX ,2006,Poland,0,1,1,2
XX ,2006,Belarus,0,1,0,1
XX ,2006,Bulgaria,0,1,0,1
XX ,2006,Great Britain,0,1,0,1
XX ,2006,Slovakia,0,1,0,1
XX ,2006,Ukraine,0,0,2,2
XX ,2006,Latvia,0,0,1,1
